1;human.pedestrian.adult; (-19.40685426565311, 2.7734426669806784, 63.557462286842444) ;(0.642, 0.804, 1.801); (0.4867272722167392, 0.4919824621338799, 0.49375077653754923, -0.5265548310496312);0;1
1;vehicle.construction; (49.91559896454913, -2.6364046525837317, 87.36758654366697) ;(3.526, 8.449, 5.212); (-0.01545054034960347, -0.04112838774944705, -0.6958053090483562, 0.7168854221032527);1;1
1;vehicle.car; (15.33989521756198, 0.4631097448603011, 24.904831481945415) ;(2.038, 4.825, 1.586); (0.7169666761354256, 0.6968499786227492, -0.015384397037956299, -0.011054995819678337);2;2
1;vehicle.car; (-12.0648866715326, 1.7405495225696803, 55.87331955006858) ;(1.972, 4.662, 1.655); (0.48891489159669255, 0.49403348588503915, 0.4916985735214456, -0.5245242190750089);3;3
2;human.pedestrian.adult; (-19.434444031280115, 2.6613425491510854, 62.38310761247846) ;(0.642, 0.804, 1.801); (0.4864984074474983, 0.492208361142764, 0.49414976939090344, -0.5261807998997293);0;1
2;vehicle.construction; (49.894863020343955, -2.732124202532919, 86.28166172765495) ;(3.526, 8.449, 5.212); (-0.015527080232822565, -0.04103308229803254, -0.696253798212298, 0.7164536582442123);1;1
2;vehicle.car; (15.316125809412922, 0.41905602329041497, 23.82449250957513) ;(2.038, 4.825, 1.586); (0.7165380360523816, 0.6972946390375323, -0.015272581230632354, -0.010962550901459256);2;2
2;vehicle.car; (-12.109572444698351, 1.6580434119886396, 53.78213287830018) ;(1.972, 4.662, 1.655); (0.48868447186884834, 0.4942610437837636, 0.4920966225912481, -0.524151143837668);3;3
3;human.pedestrian.adult; (-19.42055875978267, 2.6257271792222756, 61.782183890965634) ;(0.642, 0.804, 1.801); (0.4863535214240903, 0.49214682359622164, 0.4943686026911745, -0.5261667424835145);0;1
3;vehicle.construction; (49.92315162026249, -2.746359700199775, 85.72465832963961) ;(3.526, 8.449, 5.212); (-0.015427908620554098, -0.04084195901520382, -0.6963768704419147, 0.71634710045684);1;1
3;vehicle.car; (15.317337307602983, 0.408642397676359, 23.283698696349777) ;(2.038, 4.825, 1.586); (0.7164278858350381, 0.6974105635625518, -0.015077039962760386, -0.01105771654835358);2;2
3;vehicle.car; (-12.112723899981836, 1.6403431413071292, 52.47097083498044) ;(1.972, 4.662, 1.655); (0.48853952858530614, 0.49420041768547207, 0.4923157101517072, -0.5241376896455482);3;3
4;human.pedestrian.adult; (-19.351803164013845, 2.5726970819397623, 60.584669868353785) ;(0.642, 0.804, 1.801); (0.4856080346777806, 0.4921485217594024, 0.49470208550464184, -0.5265401369162434);0;1
4;vehicle.construction; (50.0296877449913, -2.834272349270294, 84.57210228676927) ;(3.526, 8.449, 5.212); (-0.01462220751157256, -0.04062219518187399, -0.6966277041083082, 0.7161325786297403);1;1
4;vehicle.car; (15.334950819701191, 0.37026299731161477, 22.1850631983007) ;(2.038, 4.825, 1.586); (0.7161837330973392, 0.6976531037274816, -0.014848155845722688, -0.011854938808448234);2;2
4;vehicle.car; (-12.087414026914983, 1.6172291741177311, 49.84853136923364) ;(1.972, 4.662, 1.655); (0.4877956025886421, 0.4942035039889141, 0.49264918300722527, -0.5245141840051387);3;3
5;human.pedestrian.adult; (-19.465079836776713, 2.4261948173429797, 59.35047164306717) ;(0.642, 0.804, 1.801); (0.4857733762266623, 0.492654504931418, 0.4950847480905127, -0.5255538582564901);0;1
5;vehicle.construction; (49.89861074701538, -2.9129150206790366, 83.56647262877581) ;(3.526, 8.449, 5.212); (-0.015399727706086996, -0.040747437389403285, -0.6972496076494155, 0.7155036543341422);1;1
5;vehicle.car; (15.279017439239949, 0.33955664427938986, 21.142203351919008) ;(2.038, 4.825, 1.586); (0.7155839744292186, 0.6982792111447962, -0.014950327891664894, -0.01105470574084505);2;2
5;vehicle.car; (-12.213374893673764, 1.52799690201467, 47.20836067570359) ;(1.972, 4.662, 1.655); (0.4879568372232465, 0.49471107564787625, 0.49302973607317885, -0.5235272256397174);3;3
6;human.pedestrian.adult; (-19.484374127338576, 2.3709888245846984, 58.7435468510143) ;(0.642, 0.804, 1.801); (0.4859965835554574, 0.49249097114811563, 0.4954401222045003, -0.5251657351922332);0;1
6;vehicle.construction; (49.887106760003476, -2.87989274247332, 83.03748171126341) ;(3.526, 8.449, 5.212); (-0.015824114242198817, -0.04038944001806055, -0.697407316055296, 0.7153609760505708);1;1
6;vehicle.car; (15.268044965416037, 0.34549126100951105, 20.612519022025708) ;(2.038, 4.825, 1.586); (0.7154570782954033, 0.6984235807736001, -0.014586746443495946, -0.010625335974957018);2;2
6;vehicle.car; (-12.244345693840327, 1.5016033923451633, 45.89483641538933) ;(1.972, 4.662, 1.655); (0.4881784270178661, 0.49454902256103567, 0.4933857878337686, -0.5231381768155879);3;3
7;human.pedestrian.adult; (-19.50345144726683, 2.3769568588684384, 57.470275530289825) ;(0.642, 0.804, 1.801); (0.48663571768043107, 0.49180056892914825, 0.49563251831147476, -0.5250393180237496);0;1
7;vehicle.construction; (49.89095204824083, -2.681784045412354, 81.95836285792765) ;(3.526, 8.449, 5.212); (-0.016386480982346407, -0.0397449528847878, -0.6970937752748867, 0.7156899401516048);1;1
7;vehicle.car; (-12.301415632755194, 1.5486195670419152, 42.71095242733337) ;(1.972, 4.662, 1.655); (0.48881702938172233, 0.49385942719116804, 0.49358105614095404, -0.523009100283753);3;3
8;human.pedestrian.adult; (-19.497153465432035, 2.484035224270261, 56.31015847241338) ;(0.642, 0.804, 1.801); (0.48692711680476924, 0.49125666977246985, 0.49509886308673473, -0.5257813072889529);0;1
8;vehicle.construction; (49.9123903376286, -2.525388123936061, 80.87048874088187) ;(3.526, 8.449, 5.212); (-0.016112880169920463, -0.039691398897204744, -0.6963336791217969, 0.7164386751613256);1;1
8;vehicle.car; (-12.850562509221938, 1.7476104460523998, 55.50539902521983) ;(1.936, 4.609, 1.859); (0.48988797463990524, 0.4940442221381175, 0.49231728224556287, -0.523023682520684);4;4
8;vehicle.car; (-12.321140057902168, 1.6395993321927016, 40.6328188321232) ;(1.972, 4.662, 1.655); (0.4891115145846921, 0.49331331135434053, 0.49304966957328983, -0.5237498701431383);3;3
9;human.pedestrian.adult; (-19.48393371125591, 2.54285799718614, 55.705576954479945) ;(0.642, 0.804, 1.801); (0.48668777494417825, 0.49126438810479234, 0.49467665638221253, -0.5263927396254845);0;1
9;vehicle.construction; (49.933472038245256, -2.515164339488316, 80.3147264863562) ;(3.526, 8.449, 5.212); (-0.015528400893678018, -0.03997702068484854, -0.6960226513603022, 0.7167378707562642);1;1
9;vehicle.car; (-12.835401329791445, 1.7954083750831402, 54.97303512892335) ;(1.936, 4.609, 1.859); (0.4896520888085898, 0.49404955652186355, 0.49189503869221085, -0.5236364564618501);4;4
9;vehicle.car; (-12.330033173243123, 1.6899622396277514, 39.31979499938323) ;(1.972, 4.662, 1.655); (0.4888747199448447, 0.4933192721429077, 0.492627434398302, -0.5243622934664427);3;3
10;human.pedestrian.adult; (-19.52818815511738, 2.4712777941653643, 54.48515593217468) ;(0.642, 0.804, 1.801); (0.4866141108665756, 0.4915010239808341, 0.4948384596382379, -0.5260877772712255);0;1
10;vehicle.construction; (49.890042906065126, -2.556481799838268, 79.26010813581823) ;(3.526, 8.449, 5.212); (-0.015675373859053432, -0.04004696626803089, -0.6963006521640489, 0.7164606932295905);1;1
10;vehicle.car; (-12.872923229726332, 1.7213650650851646, 53.90295317247468) ;(1.936, 4.609, 1.859); (0.4895767040541117, 0.49428710218507266, 0.49205550329697184, -0.5233319148840049);4;4
10;vehicle.car; (-12.39743571789342, 1.6597871791952916, 36.6887467007068) ;(1.972, 4.662, 1.655); (0.488799787069682, 0.4935565794907686, 0.4927882512324389, -0.5240576403882307);3;3
11;human.pedestrian.adult; (-19.57731641971695, 2.325886860168037, 53.260768397094765) ;(0.642, 0.804, 1.801); (0.48563645590222193, 0.4926564031930195, 0.49508374014167905, -0.5256795519505901);0;1
11;vehicle.construction; (49.83082530818777, -2.8375050555980077, 78.19790643703656) ;(3.526, 8.449, 5.212); (-0.01521389242911625, -0.04074952686345734, -0.6972501110936884, 0.7155070203131477);1;1
11;vehicle.car; (-12.916644907977881, 1.5629592632212626, 52.82801811420763) ;(1.936, 4.609, 1.859); (0.48859675978788053, 0.49544384786193346, 0.49229425649251474, -0.5229292160178356);4;4
11;vehicle.car; (-12.468332517895398, 1.5839533156556014, 34.05293085096258) ;(1.972, 4.662, 1.655); (0.48782044129738583, 0.4947129696973458, 0.4930287202313772, -0.5236534881891531);3;3
12;human.pedestrian.adult; (-19.572400350438365, 2.282743509178284, 52.66357249415941) ;(0.642, 0.804, 1.801); (0.4851721268281025, 0.49294673484871365, 0.4952157889055342, -0.5257117521701009);0;1
12;vehicle.construction; (49.84406522611514, -2.929332611698488, 77.64836426392854) ;(3.526, 8.449, 5.212); (-0.014844865546012775, -0.04087940077518676, -0.6975414221188592, 0.7152233699954043);1;1
12;vehicle.car; (-12.909199063957711, 1.5134068747553275, 52.302472989504224) ;(1.936, 4.609, 1.859); (0.48813261992087675, 0.4957349204517764, 0.49242466390708917, -0.5229640373771824);4;4
12;vehicle.car; (-12.48409796642024, 1.5686686221701447, 32.746804822823) ;(1.972, 4.662, 1.655); (0.48735625028262813, 0.49500384850366075, 0.49315955931716837, -0.5236876209450807);3;3
13;human.pedestrian.adult; (-19.56736111503307, 2.26430359499082, 51.43430138845862) ;(0.642, 0.804, 1.801); (0.48484684921144067, 0.4929632750989899, 0.49528797274380665, -0.5259282900441337);0;1
13;vehicle.construction; (49.872185166672914, -2.9347191956264167, 76.5775272994956) ;(3.526, 8.449, 5.212); (-0.01445777815054411, -0.04084394182988371, -0.6976064355758118, 0.7151699141532433);1;1
13;vehicle.car; (-12.896008773199421, 1.4855302563973558, 51.27081433023681) ;(1.936, 4.609, 1.859); (0.4878085700856309, 0.4957518679963112, 0.4924967532067193, -0.5231824083529759);4;4
